,Mo_3px
-61.6721,1.5528869999999998e-05
-61.662099999999995,1.364269e-05
-61.652100000000004,1.193423e-05
-61.6421,1.0381960000000002e-05
-61.632099999999994,8.992435000000001e-06
-61.6221,7.730416e-06
-61.6121,6.603865000000001e-06
-61.60210000000001,5.598900000000001e-06
-61.5921,4.704159000000002e-06
-61.5821,3.9302243e-06
-61.572100000000006,3.2447954999999996e-06
-61.5621,2.6554326000000005e-06
-61.552099999999996,2.1552002e-06
-61.542100000000005,1.7372896e-06
-61.5321,1.3802042299999998e-06
-61.522099999999995,1.08727167e-06
-61.512100000000004,8.483880899999999e-07
-61.5021,6.5502134e-07
-61.49209999999999,4.99599052e-07
-61.4821,3.78154184e-07
-61.4721,2.8313494200000005e-07
-61.46210000000001,2.0967946599999998e-07
-61.4521,1.5348369570000002e-07
-61.442099999999996,1.1121440629999998e-07
-61.432100000000005,7.97764718e-08
-61.4221,5.6660921300000003e-08
-61.412099999999995,3.970510617999999e-08
-61.402100000000004,2.7580360050000003e-08
-61.3921,1.893999216e-08
-61.382099999999994,1.2887403250999999e-08
-61.3721,8.670980265999999e-09
-61.3621,5.775459688999999e-09
-61.35210000000001,3.795678416e-09
-61.3421,2.4773943126999992e-09
-61.3321,1.5891647985e-09
-61.322100000000006,1.01560463156e-09
-61.3121,6.4054754399e-10
-61.302099999999996,3.9907440768e-10
-61.292100000000005,2.4636858445e-10
-61.2821,1.50380868106e-10
-61.272099999999995,9.0791124747e-11
-61.262100000000004,5.42405064597e-11
-61.2521,3.202687015156e-11
-61.24209999999999,1.8728109976570003e-11
-61.2321,1.0828106114949999e-11
-61.2221,6.1937819684100005e-12
-61.21210000000001,3.5040168257179997e-12
-61.2021,1.96357655159e-12
-61.192099999999996,1.0865299081619997e-12
-61.182100000000005,5.952750503589999e-13
-61.1721,3.2309201068999997e-13
-61.162099999999995,1.7347532651509997e-13
-61.152100000000004,9.17156883045e-14
-61.1421,4.8168899184e-14
-61.132099999999994,2.4947522836249993e-14
-61.1221,1.2829030501689999e-14
-61.1121,6.522510760740001e-15
