,S_2px
-62.464000000000006,2.2294642e-05
-62.454,3.5698825999999996e-05
-62.443999999999996,5.6755820000000004e-05
-62.434000000000005,8.893548000000002e-05
-62.424,0.00013813683999999997
-62.413999999999994,0.00021233129
-62.404,0.0003230040999999999
-62.394,0.00048584890000000024
-62.38400000000001,0.0007249088999999997
-62.374,0.0010685955
-62.364,0.0015591940000000003
-62.354000000000006,0.0022522099999999997
-62.344,0.0032199319999999996
-62.333999999999996,0.004551484999999999
-62.324000000000005,0.006374059999999999
-62.314,0.008849500000000003
-62.303999999999995,0.012139119999999993
-62.294000000000004,0.016500469999999986
-62.284,0.022192499999999997
-62.27400000000001,0.02954487999999998
-62.264,0.038929700000000025
-62.254,0.050807799999999986
-62.24400000000001,0.06567450000000001
-62.234,0.08400529999999998
-62.224,0.10657310000000003
-62.214000000000006,0.13371329999999998
-62.204,0.16622899999999996
-62.193999999999996,0.2045330000000002
-62.184000000000005,0.24935199999999982
-62.174,0.3011440000000002
-62.163999999999994,0.3603810000000002
-62.154,0.42715400000000003
-62.144,0.5018639999999996
-62.13400000000001,0.5843330000000002
-62.124,0.67406
-62.114,0.7696400000000003
-62.104000000000006,0.8716100000000003
-62.094,0.9800799999999997
-62.083999999999996,1.0921100000000001
-62.074000000000005,1.2065100000000004
-62.064,1.3212400000000004
-62.053999999999995,1.4342599999999988
-62.044000000000004,1.5444599999999988
-62.034,1.6508299999999996
-62.02400000000001,1.7492500000000015
-62.014,1.8393
-62.004,1.9210000000000005
-61.99400000000001,1.9877000000000002
-61.984,2.043199999999998
-61.974,2.0839999999999996
-61.964000000000006,2.1104000000000007
-61.954,2.1200000000000006
-61.943999999999996,2.1120000000000005
-61.934000000000005,2.0898000000000008
-61.924,2.0544000000000002
-61.913999999999994,2.0021
-61.904,1.9382999999999986
-61.894,1.8608000000000031
-61.88400000000001,1.772150000000002
-61.874,1.6775599999999995
-61.864,1.5736599999999987
-61.854000000000006,1.46385
-61.844,1.3507100000000003
-61.833999999999996,1.2375799999999992
-61.824000000000005,1.1236699999999997
-61.814,1.0128100000000002
-61.803999999999995,0.9046600000000001
-61.794000000000004,0.8014499999999996
-61.784,0.7024600000000004
-61.77400000000001,0.6111699999999999
-61.764,0.5289720000000007
-61.754,0.45202600000000037
-61.74400000000001,0.3820279999999998
-61.734,0.320546
-61.724,0.2665049999999999
-61.714000000000006,0.21949200000000016
-61.704,0.17903499999999997
-61.693999999999996,0.14465879999999998
-61.684000000000005,0.11580970000000006
-61.674,0.0918284
-61.663999999999994,0.07206360000000002
-61.654,0.05594859999999995
-61.644,0.04298039999999999
-61.63400000000001,0.03281831999999999
-61.624,0.02474541000000001
-61.614,0.018475290000000005
-61.604000000000006,0.01365463
-61.594,0.009989599999999998
-61.583999999999996,0.007239519999999997
-61.574000000000005,0.005180434999999997
-61.564,0.0036716319999999998
-61.553999999999995,0.002582903
-61.544000000000004,0.0017948660000000002
-61.534,0.0012344258
-61.52400000000001,0.0008405770999999997
-61.514,0.0005657654999999996
-61.504,0.00037713999999999993
-61.49400000000001,0.0002488180600000001
-61.484,0.00016238424000000005
-61.474,0.00010486527999999994
-61.464000000000006,6.701221999999999e-05
-61.454,4.245506200000005e-05
-61.443999999999996,2.6530260000000006e-05
-61.434000000000005,1.6424678999999998e-05
-61.424,1.0066135999999997e-05
