,Mo_3px
-62.493,5.500463999999997e-09
-62.483,8.658257e-09
-62.47299999999999,1.3476492000000009e-08
-62.463,2.0716740000000013e-08
-62.452999999999996,3.168047999999999e-08
-62.44299999999999,4.778903e-08
-62.433,7.132894000000002e-08
-62.422999999999995,1.0546499999999999e-07
-62.413000000000004,1.542853e-07
-62.403,2.2272049999999993e-07
-62.392999999999994,3.196228e-07
-62.383,4.5385400000000017e-07
-62.373,6.375919999999999e-07
-62.36299999999999,8.859459999999997e-07
-62.353,1.2184320000000005e-06
-62.342999999999996,1.659238999999999e-06
-62.33299999999999,2.24335e-06
-62.323,2.9880199999999993e-06
-62.312999999999995,3.945010000000002e-06
-62.303000000000004,5.159359999999998e-06
-62.293,6.685020000000002e-06
-62.282999999999994,8.57407e-06
-62.273,1.0892799999999998e-05
-62.263,1.3704000000000008e-05
-62.25299999999999,1.7087700000000016e-05
-62.243,2.114379999999999e-05
-62.233,2.5803199999999997e-05
-62.22299999999999,3.126159999999999e-05
-62.213,3.741730000000001e-05
-62.202999999999996,4.447999999999999e-05
-62.19299999999999,5.2351999999999996e-05
-62.183,6.110799999999997e-05
-62.172999999999995,7.077099999999999e-05
-62.163000000000004,8.102100000000001e-05
-62.153,9.215800000000002e-05
-62.142999999999994,0.00010390399999999996
-62.133,0.00011598299999999999
-62.123,0.00012842699999999997
-62.11299999999999,0.00014109000000000002
-62.103,0.00015391999999999996
-62.092999999999996,0.00016607999999999993
-62.08299999999999,0.0001780800000000001
-62.073,0.00018927999999999992
-62.062999999999995,0.00019984000000000004
-62.053000000000004,0.00020911999999999987
-62.043,0.0002174400000000001
-62.032999999999994,0.00022414000000000011
-62.023,0.00022928000000000003
-62.013,0.00023296
-62.00299999999999,0.00023471999999999979
-61.993,0.00023503999999999986
-61.983,0.00023327999999999988
-61.97299999999999,0.0002299199999999999
-61.963,0.00022512000000000007
-61.952999999999996,0.00021872000000000016
-61.94299999999999,0.00021055999999999988
-61.933,0.00020160000000000002
-61.922999999999995,0.00019136
-61.913000000000004,0.0001802100000000001
-61.903,0.00016845999999999994
-61.892999999999994,0.00015616000000000002
-61.883,0.00014367999999999998
-61.873,0.000131116
-61.86299999999999,0.00011856999999999998
-61.853,0.00010652600000000002
-61.842999999999996,9.466400000000001e-05
-61.83299999999999,8.358499999999995e-05
-61.823,7.3154e-05
-61.812999999999995,6.347000000000001e-05
-61.803000000000004,5.449700000000005e-05
-61.793,4.6399999999999976e-05
-61.782999999999994,3.913020000000001e-05
-61.773,3.276849999999998e-05
-61.763,2.7108099999999982e-05
-61.75299999999999,2.2248599999999996e-05
-61.743,1.8150599999999995e-05
-61.733,1.4627200000000003e-05
-61.72299999999999,1.1660799999999992e-05
-61.713,9.22921e-06
-61.702999999999996,7.2186599999999955e-06
-61.69299999999999,5.598409999999998e-06
-61.683,4.29504e-06
-61.672999999999995,3.2720999999999987e-06
-61.663000000000004,2.4530600000000013e-06
-61.653,1.8270219999999998e-06
-61.642999999999994,1.352285e-06
-61.633,9.876999999999995e-07
-61.623,7.146260000000003e-07
-61.61299999999999,5.114289999999997e-07
-61.603,3.6218190000000004e-07
-61.592999999999996,2.53794e-07
-61.58299999999999,1.7671670000000006e-07
-61.573,1.2130480000000006e-07
-61.562999999999995,8.252639999999998e-08
-61.553000000000004,5.5600950000000026e-08
-61.543,3.699448000000002e-08
-61.532999999999994,2.441592e-08
-61.523,1.5938699999999992e-08
-61.513,1.0297002000000005e-08
-61.50299999999999,6.581054000000003e-09
-61.493,4.165270000000001e-09
-61.483,2.6097620000000014e-09
-61.47299999999999,1.6164063999999993e-09
-61.463,9.912901e-10
-61.452999999999996,6.016478999999996e-10
-61.44299999999999,3.613917999999999e-10
-61.433,2.1421748000000003e-10
-61.422999999999995,1.2625792000000003e-10
-61.413000000000004,7.346263999999997e-11
-61.403,4.234676799999999e-11
-61.392999999999994,2.4101950999999995e-11
-61.383,1.3593083000000003e-11
-61.373,7.584156e-12
-61.36299999999999,4.1853687999999985e-12
-61.353,2.286975000000001e-12
-61.342999999999996,1.2365478599999995e-12
-61.33299999999999,6.612389499999994e-13
-61.323,3.504756600000002e-13
-61.312999999999995,1.832834379999999e-13
-61.303000000000004,9.485804900000002e-14
-61.293,4.8594719000000007e-14
-61.282999999999994,2.465561719999998e-14
-61.273,1.23240909355e-14
-61.263,6.1250004640999995e-15
-61.25299999999999,3.0071902277999993e-15
-61.243,1.36521110182e-15
-61.233,5.448850362900001e-16
-61.22299999999999,2.6084801738000006e-16
-61.213,8.949770614400003e-17
-61.202999999999996,0.0
-61.19299999999999,0.0
-61.183,0.0
-61.172999999999995,0.0
-61.163000000000004,0.0
-61.153,0.0
-61.142999999999994,0.0
-61.133,0.0
-61.123,0.0
-61.11299999999999,0.0
-61.103,0.0
-61.092999999999996,0.0
-61.08299999999999,0.0
-61.073,0.0
-61.062999999999995,0.0
-61.053000000000004,0.0
-61.043,0.0
-61.032999999999994,0.0
-61.023,0.0
-61.013,0.0
-61.00299999999999,0.0
-60.993,0.0
-60.983,0.0
-60.97299999999999,0.0
-60.963,0.0
-60.952999999999996,0.0
-60.94299999999999,0.0
-60.933,0.0
-60.922999999999995,0.0
-60.913000000000004,0.0
-60.903,0.0
-60.892999999999994,0.0
-60.883,0.0
-60.873,0.0
-60.86299999999999,0.0
-60.853,0.0
-60.842999999999996,0.0
-60.83299999999999,0.0
-60.823,0.0
-60.812999999999995,0.0
-60.803000000000004,0.0
-60.793,0.0
-60.782999999999994,0.0
-60.773,0.0
-60.763,0.0
-60.75299999999999,0.0
-60.743,0.0
-60.733,0.0
-60.72299999999999,0.0
-60.713,0.0
-60.702999999999996,0.0
-60.69299999999999,0.0
-60.683,0.0
-60.672999999999995,0.0
-60.663000000000004,0.0
-60.653,0.0
-60.642999999999994,0.0
-60.633,0.0
-60.623,0.0
-60.61299999999999,0.0
-60.603,0.0
-60.592999999999996,0.0
-60.58299999999999,0.0
-60.573,0.0
-60.562999999999995,0.0
-60.553000000000004,0.0
-60.543,0.0
-60.532999999999994,0.0
-60.523,0.0
-60.513,0.0
-60.50299999999999,0.0
-60.493,0.0
-60.483,0.0
-60.47299999999999,0.0
-60.463,0.0
-60.452999999999996,0.0
-60.44299999999999,0.0
-60.433,0.0
-60.422999999999995,0.0
-60.413000000000004,0.0
-60.403,0.0
-60.392999999999994,0.0
-60.383,0.0
-60.373,0.0
-60.36299999999999,0.0
-60.353,0.0
-60.342999999999996,0.0
-60.33299999999999,0.0
-60.323,0.0
-60.312999999999995,0.0
-60.303000000000004,0.0
-60.293,0.0
-60.282999999999994,0.0
-60.273,0.0
-60.263,0.0
-60.25299999999999,0.0
-60.243,0.0
-60.233,0.0
-60.22299999999999,0.0
-60.213,0.0
-60.202999999999996,0.0
-60.19299999999999,0.0
-60.183,0.0
-60.172999999999995,0.0
-60.163000000000004,0.0
-60.153,0.0
-60.142999999999994,0.0
-60.133,0.0
-60.123,0.0
-60.11299999999999,0.0
-60.103,0.0
-60.092999999999996,0.0
-60.08299999999999,0.0
-60.073,0.0
-60.062999999999995,0.0
-60.053000000000004,0.0
-60.043,0.0
-60.032999999999994,0.0
-60.023,0.0
-60.013,0.0
-60.00299999999999,0.0
-59.993,0.0
-59.983,0.0
-59.97299999999999,0.0
-59.963,0.0
-59.952999999999996,0.0
-59.94299999999999,0.0
-59.933,0.0
-59.922999999999995,0.0
-59.913000000000004,0.0
-59.903,0.0
-59.892999999999994,0.0
-59.883,0.0
-59.873,0.0
-59.86299999999999,0.0
-59.853,0.0
-59.842999999999996,0.0
-59.83299999999999,0.0
-59.823,0.0
-59.812999999999995,0.0
-59.803000000000004,0.0
-59.793,0.0
-59.782999999999994,0.0
-59.773,0.0
-59.763,0.0
-59.75299999999999,0.0
-59.743,0.0
-59.733,0.0
-59.72299999999999,0.0
-59.713,0.0
-59.702999999999996,0.0
-59.69299999999999,0.0
-59.683,0.0
-59.672999999999995,0.0
-59.663000000000004,0.0
-59.653,0.0
-59.642999999999994,0.0
-59.633,0.0
-59.623,0.0
-59.61299999999999,0.0
-59.603,0.0
-59.592999999999996,0.0
-59.58299999999999,0.0
-59.573,0.0
-59.562999999999995,0.0
-59.553000000000004,0.0
-59.543,0.0
-59.532999999999994,0.0
-59.523,0.0
-59.513,0.0
-59.50299999999999,0.0
-59.493,0.0
-59.483,0.0
-59.47299999999999,0.0
-59.463,0.0
-59.452999999999996,0.0
-59.44299999999999,0.0
-59.433,0.0
-59.422999999999995,0.0
-59.413000000000004,0.0
-59.403,0.0
-59.392999999999994,0.0
-59.383,0.0
-59.373,0.0
-59.36299999999999,0.0
-59.353,0.0
-59.342999999999996,0.0
-59.33299999999999,0.0
-59.323,0.0
-59.312999999999995,0.0
-59.303000000000004,0.0
-59.293,0.0
-59.282999999999994,0.0
-59.273,0.0
-59.263,0.0
-59.25299999999999,0.0
-59.243,0.0
-59.233,0.0
-59.223,0.0
-59.212999999999994,0.0
-59.202999999999996,0.0
-59.193,0.0
-59.183,0.0
-59.172999999999995,0.0
-59.163,0.0
-59.153,0.0
-59.143,0.0
-59.132999999999996,0.0
-59.123,0.0
-59.113,0.0
-59.102999999999994,0.0
-59.092999999999996,0.0
-59.083,0.0
-59.073,0.0
-59.062999999999995,0.0
-59.053,0.0
-59.043,0.0
-59.032999999999994,0.0
-59.022999999999996,0.0
-59.013,0.0
-59.003,0.0
-58.992999999999995,0.0
-58.983,0.0
-58.973,0.0
-58.962999999999994,0.0
-58.952999999999996,0.0
-58.943,0.0
-58.933,0.0
-58.922999999999995,0.0
-58.913,0.0
-58.903,0.0
-58.893,0.0
-58.882999999999996,0.0
-58.873,0.0
-58.863,0.0
-58.852999999999994,0.0
-58.842999999999996,0.0
-58.833,0.0
