,S_2px
-83.82079999999999,1.740581461718871e-06
-83.8108,2.6963651960001314e-06
-83.8008,4.105034725287704e-06
-83.79079999999999,6.21795936340922e-06
-83.7808,9.316789614153277e-06
-83.7708,1.3783863737141363e-05
-83.7608,2.0122894223475386e-05
-83.7508,2.9178111154573512e-05
-83.7408,4.185518781401919e-05
-83.7308,5.9561285499020686e-05
-83.7208,8.350824255730845e-05
-83.71079999999999,0.00011570347933537199
-83.7008,0.00015896694413967648
-83.6908,0.00021531218361775148
-83.68079999999999,0.0002897631370812772
-83.6708,0.0003843440218334559
-83.6608,0.0005070805412255606
-83.65079999999999,0.0006580138343818972
-83.6408,0.0008471499628536206
-83.6308,0.001078559530540678
-83.6208,0.0013572565061037779
-83.6108,0.0016902927865685901
-83.60079999999999,0.002082678072725068
-83.5908,0.0025354463736489575
-83.5808,0.003058622411723505
-83.57079999999999,0.003642224219019843
-83.5608,0.004306220522237327
-83.5508,0.005030605490223624
-83.54079999999999,0.005815422972014673
-83.5308,0.006640462662075949
-83.5208,0.007505537151433745
-83.5108,0.008370908248759896
-83.5008,0.009276457386784327
-83.4908,0.010141691079883962
-83.4808,0.01096681584973513
-83.4708,0.011751545279675021
-83.46079999999999,0.01243566258055012
-83.4508,0.013039380712189677
-83.4408,0.01351222911984299
-83.43079999999999,0.01385439977642284
-83.4208,0.014045454470994699
-83.4108,0.014105726278771161
-83.40079999999999,0.014005119459924427
-83.3908,0.013743551057473487
-83.3808,0.013361265251933988
-83.3708,0.01283812653569592
-83.3608,0.012194136411714202
-83.35079999999999,0.011469741458090774
-83.3408,0.010664966568988838
-83.3308,0.009819685302867648
-83.32079999999999,0.008934345437552822
-83.3108,0.008048977008723385
-83.3008,0.007183649183426439
-83.29079999999999,0.006318567937203042
-83.2808,0.00551358168520594
-83.2708,0.004748940791162341
-83.2608,0.004064699381818966
-83.2508,0.0034208435646206205
-83.2408,0.0028574194266487614
-83.2308,0.0023543810297670157
-83.2208,0.0019317571807062114
-83.21079999999999,0.0015615068770996586
-83.2008,0.001249599381021788
-83.1908,0.0009880242784066921
-83.18079999999999,0.0007727089100693763
-83.1708,0.0005996424443889615
-83.1608,0.0004587900442753557
-83.15079999999999,0.0003481154709757416
-83.1408,0.00025958529708814754
-83.1308,0.00019317461705850808
-83.1208,0.00014166295650259048
-83.1108,0.00010282494577115042
-83.10079999999999,7.384891272559301e-05
-83.0908,5.231974841712077e-05
-83.0808,3.682409891208072e-05
-83.07079999999999,2.555567916280108e-05
-83.0608,1.7587018930127027e-05
-83.0508,1.196281259197451e-05
-83.04079999999999,8.04897093630186e-06
-83.0308,5.3526398108689275e-06
-83.0208,3.521466042415772e-06
-83.0108,2.2939713264350246e-06
-83.0008,1.4810091496540171e-06
-82.9908,9.437427602521851e-07
-82.9808,5.956139672102268e-07
-82.9708,3.702570630764794e-07
-82.96079999999999,2.2939371263991577e-07
-82.9508,1.39850752871942e-07
-82.9408,8.451430769055663e-08
-82.93079999999999,5.0506878867288064e-08
-82.9208,2.9781464511679543e-08
-82.9108,1.742605708080662e-08
-82.90079999999999,1.0081241548471368e-08
-82.8908,5.775145988933926e-09
-82.8808,3.259861420339677e-09
-82.8708,1.827114717278446e-09
-82.8608,1.0121542723819829e-09
-82.85079999999999,5.553646434691224e-10
-82.8408,2.9983070604525704e-10
-82.8308,1.6117984123370498e-10
-82.82079999999999,8.552084504697611e-11
-82.8108,4.487310035981953e-11
-82.8008,2.3341620918145236e-11
-82.79079999999999,1.1952812571872204e-11
-82.7808,6.077022733204515e-12
-82.7708,3.0585821943963725e-12
-82.7608,1.5172321027673434e-12
-82.7508,7.465489299441112e-13
-82.7408,3.6420967059509384e-13
-82.7308,1.748640394197686e-13
-82.7208,8.330575897787821e-14
-82.71079999999999,0.0
-82.7008,0.0
-82.6908,0.0
-82.68079999999999,0.0
-82.6708,0.0
-82.6608,0.0
-82.65079999999999,0.0
-82.6408,0.0
-82.6308,0.0
-82.6208,0.0
-82.6108,0.0
-82.60079999999999,0.0
-82.5908,0.0
-82.5808,0.0
-82.57079999999999,0.0
-82.5608,0.0
-82.5508,0.0
-82.54079999999999,0.0
-82.5308,0.0
-82.5208,0.0
-82.5108,0.0
-82.5008,0.0
-82.4908,0.0
-82.4808,0.0
-82.4708,0.0
-82.46079999999999,0.0
-82.4508,0.0
-82.4408,0.0
-82.43079999999999,0.0
-82.4208,0.0
-82.4108,0.0
-82.40079999999999,0.0
-82.3908,0.0
-82.3808,0.0
-82.3708,0.0
-82.3608,0.0
-82.35079999999999,0.0
-82.3408,0.0
-82.3308,0.0
-82.32079999999999,0.0
-82.3108,0.0
-82.3008,0.0
-82.29079999999999,0.0
-82.2808,0.0
-82.2708,0.0
-82.2608,0.0
-82.2508,0.0
-82.2408,0.0
-82.2308,0.0
-82.2208,0.0
-82.21079999999999,0.0
-82.2008,0.0
-82.1908,0.0
-82.18079999999999,0.0
-82.1708,0.0
-82.1608,0.0
-82.15079999999999,0.0
-82.1408,0.0
-82.1308,0.0
-82.1208,0.0
-82.1108,0.0
-82.10079999999999,0.0
-82.0908,0.0
-82.0808,0.0
-82.07079999999999,0.0
-82.0608,0.0
-82.0508,0.0
-82.04079999999999,0.0
-82.0308,0.0
-82.0208,0.0
-82.0108,0.0
-82.0008,0.0
-81.9908,0.0
-81.9808,0.0
-81.9708,0.0
-81.96079999999999,0.0
-81.9508,0.0
-81.9408,0.0
-81.93079999999999,0.0
-81.9208,0.0
-81.9108,0.0
-81.90079999999999,0.0
-81.8908,0.0
-81.8808,0.0
-81.8708,0.0
-81.8608,0.0
-81.85079999999999,0.0
-81.8408,0.0
-81.8308,0.0
-81.82079999999999,0.0
-81.8108,0.0
-81.8008,0.0
-81.79079999999999,0.0
-81.7808,0.0
-81.7708,0.0
-81.7608,0.0
-81.7508,0.0
-81.7408,0.0
-81.7308,0.0
-81.7208,0.0
-81.71079999999999,0.0
