,S_2pz
-62.351400000000005,0.00011967600000000007
-62.3414,0.00019027300000000005
-62.331399999999995,0.00029935
-62.321400000000004,0.00046596999999999985
-62.3114,0.0007177599999999997
-62.301399999999994,0.0010940200000000002
-62.2914,0.0016496400000000006
-62.2814,0.0024630999999999998
-62.27140000000001,0.0036386999999999978
-62.2614,0.0053177
-62.2514,0.007690800000000003
-62.241400000000006,0.011005299999999999
-62.2314,0.015577899999999992
-62.221399999999996,0.021844
-62.211400000000005,0.03028399999999999
-62.2014,0.041557000000000024
-62.191399999999994,0.05642900000000003
-62.181400000000004,0.07581500000000004
-62.1714,0.10081300000000001
-62.16140000000001,0.132618
-62.1514,0.17273799999999995
-62.1414,0.22246000000000016
-62.131400000000006,0.28359999999999974
-62.1214,0.3577500000000003
-62.111399999999996,0.4466199999999999
-62.101400000000005,0.5516199999999998
-62.0914,0.6742900000000001
-62.081399999999995,0.8156400000000005
-62.071400000000004,0.97621
-62.0614,1.1563299999999994
-62.051399999999994,1.355539999999999
-62.0414,1.5702700000000014
-62.0314,1.802820000000002
-62.02140000000001,2.049600000000002
-62.0114,2.3034000000000012
-62.0014,2.5592000000000037
-61.991400000000006,2.8173000000000012
-61.9814,3.0665999999999984
-61.971399999999996,3.305799999999999
-61.961400000000005,3.5252999999999988
-61.9514,3.7198999999999973
-61.941399999999994,3.8841000000000023
-61.931400000000004,4.013700000000004
-61.9214,4.103599999999999
-61.91140000000001,4.151200000000004
-61.9014,4.160100000000003
-61.8914,4.1217999999999995
-61.881400000000006,4.041500000000005
-61.8714,3.921900000000004
-61.861399999999996,3.770599999999997
-61.851400000000005,3.5828999999999995
-61.8414,3.3739
-61.831399999999995,3.140199999999999
-61.821400000000004,2.897000000000002
-61.8114,2.6429000000000014
-61.801399999999994,2.3899000000000012
-61.7914,2.135200000000002
-61.7814,1.8929000000000014
-61.77140000000001,1.6608100000000023
-61.7614,1.4428200000000013
-61.7514,1.2417299999999998
-61.741400000000006,1.0592499999999998
-61.7314,0.8952299999999996
-61.721399999999996,0.7499700000000004
-61.711400000000005,0.62303
-61.7014,0.51325
-61.691399999999994,0.4194800000000004
-61.681400000000004,0.34029999999999977
-61.6714,0.2741099999999998
-61.66140000000001,0.2194269999999999
