,S_2py
-62.351400000000005,4.5053e-05
-62.3414,7.276899999999995e-05
-62.331399999999995,0.000116302
-62.321400000000004,0.0001839389999999998
-62.3114,0.00028801999999999983
-62.301399999999994,0.00044614000000000003
-62.2914,0.0006837400000000003
-62.2814,0.0010375700000000002
-62.27140000000001,0.0015572700000000004
-62.2614,0.002313510000000001
-62.2514,0.003400400000000003
-62.241400000000006,0.004947400000000001
-62.2314,0.0071221999999999995
-62.221399999999996,0.010142600000000002
-62.211400000000005,0.014295999999999998
-62.2014,0.019937600000000007
-62.191399999999994,0.027519699999999994
-62.181400000000004,0.03759000000000002
-62.1714,0.050801000000000006
-62.16140000000001,0.06794700000000002
-62.1514,0.08991399999999998
-62.1414,0.11775099999999994
-62.131400000000006,0.1526509999999999
-62.1214,0.1957440000000001
-62.111399999999996,0.24822400000000003
-62.101400000000005,0.3116739999999998
-62.0914,0.3872399999999997
-62.081399999999995,0.4760299999999997
-62.071400000000004,0.5789899999999996
-62.0614,0.69697
-62.051399999999994,0.8302300000000004
-62.0414,0.9784699999999998
-62.0314,1.1408999999999991
-62.02140000000001,1.3162500000000001
-62.0114,1.5031000000000019
-62.0014,1.6989299999999976
-61.991400000000006,1.9001499999999967
-61.9814,2.10072
-61.971399999999996,2.2989500000000014
-61.961400000000005,2.4924200000000023
-61.9514,2.6700400000000006
-61.941399999999994,2.830479999999999
-61.931400000000004,2.971370000000002
-61.9214,3.086000000000005
-61.91140000000001,3.1690999999999963
-61.9014,3.2237000000000022
-61.8914,3.244100000000002
-61.881400000000006,3.231200000000003
-61.8714,3.1838999999999977
-61.861399999999996,3.1018999999999965
-61.851400000000005,2.9934000000000007
-61.8414,2.8608000000000007
-61.831399999999995,2.702300000000001
-61.821400000000004,2.5291999999999994
-61.8114,2.3421999999999974
-61.801399999999994,2.147900000000001
-61.7914,1.9497000000000024
-61.7814,1.74969
-61.77140000000001,1.5560999999999983
-61.7614,1.372069999999999
-61.7514,1.1960500000000012
-61.741400000000006,1.0335600000000005
-61.7314,0.8847199999999998
-61.721399999999996,0.7503300000000004
-61.711400000000005,0.6308000000000001
-61.7014,0.5255099999999999
-61.691399999999994,0.4342699999999997
-61.681400000000004,0.35582999999999987
-61.6714,0.2893899999999999
-61.66140000000001,0.23374799999999998
-61.6514,0.1871360000000001
-61.6414,0.14907700000000002
-61.631400000000006,0.11785300000000004
-61.6214,0.09264799999999995
-61.611399999999996,0.07242800000000003
-61.601400000000005,0.05631999999999998
-61.5914,0.043585999999999986
-61.581399999999995,0.03354829999999999
-61.571400000000004,0.025718799999999955
-61.5614,0.019624600000000002
-61.551399999999994,0.014913299999999985
-61.5414,0.011274199999999998
-61.5314,0.008493200000000008
-61.52140000000001,0.006364189999999998
-61.5114,0.004739209999999995
-61.5014,0.003518040000000004
-61.491400000000006,0.0025923400000000037
-61.4814,0.001900460000000002
-61.471399999999996,0.0013836579999999988
-61.461400000000005,0.0010002889999999995
-61.4514,0.0007187350000000004
-61.441399999999994,0.0005113860000000006
-61.431400000000004,0.0003609999999999994
-61.4214,0.0002535515000000001
-61.41140000000001,0.00017623690000000033
-61.4014,0.0001213832
-61.3914,8.29387e-05
-61.381400000000006,5.60545499999999e-05
-61.3714,3.7617640000000013e-05
-61.361399999999996,2.4919099999999986e-05
-61.351400000000005,1.6373329999999997e-05
-61.3414,1.065383099999999e-05
-61.331399999999995,6.865977999999992e-06
-61.321400000000004,4.367733000000002e-06
-61.3114,2.760032999999999e-06
-61.301399999999994,1.7243764000000024e-06
-61.2914,1.0654691999999992e-06
-61.2814,6.519029999999992e-07
-61.27140000000001,3.9436571999999994e-07
-61.2614,2.3610849e-07
-61.2514,1.3990205999999998e-07
-61.241400000000006,8.206990999999994e-08
-61.2314,4.7564074999999936e-08
-61.221399999999996,2.7315777e-08
-61.211400000000005,1.5516619700000015e-08
-61.2014,8.706029799999997e-09
-61.191399999999994,4.841362609999999e-09
-61.181400000000004,2.6581768066132054e-09
-61.1714,1.4470736225636617e-09
-61.16140000000001,7.788464278342959e-10
-61.1514,4.148418214063787e-10
-61.1414,2.1842360125978834e-10
-61.131400000000006,1.1379317838802661e-10
-61.1214,5.864506710042678e-11
-61.111399999999996,2.997029614960935e-11
-61.101400000000005,1.5109765733733983e-11
-61.0914,7.543303730041342e-12
-61.081399999999995,3.716457656173828e-12
-61.071400000000004,1.8178248346972362e-12
-61.0614,8.790178114870059e-13
-61.051399999999994,4.2046804842409356e-13
-61.0414,0.0
-61.0314,0.0
-61.02140000000001,0.0
-61.0114,0.0
-61.0014,0.0
-60.991400000000006,0.0
-60.9814,0.0
-60.971399999999996,0.0
-60.961400000000005,0.0
-60.9514,0.0
-60.941399999999994,0.0
-60.931400000000004,0.0
-60.9214,0.0
-60.91140000000001,0.0
-60.9014,0.0
-60.8914,0.0
-60.881400000000006,0.0
-60.8714,0.0
-60.861399999999996,0.0
-60.851400000000005,0.0
-60.8414,0.0
-60.831399999999995,0.0
-60.821400000000004,0.0
-60.8114,0.0
-60.801399999999994,0.0
-60.7914,0.0
-60.7814,0.0
-60.77140000000001,0.0
-60.7614,0.0
-60.7514,0.0
-60.741400000000006,0.0
-60.7314,0.0
-60.721399999999996,0.0
-60.711400000000005,0.0
-60.7014,0.0
-60.691399999999994,0.0
-60.681400000000004,0.0
-60.6714,0.0
-60.66140000000001,0.0
-60.6514,0.0
-60.6414,0.0
-60.631400000000006,0.0
-60.6214,0.0
-60.611399999999996,0.0
-60.601400000000005,0.0
-60.5914,0.0
-60.581399999999995,0.0
-60.571400000000004,0.0
-60.5614,0.0
-60.551399999999994,0.0
-60.5414,0.0
-60.5314,0.0
-60.52140000000001,0.0
-60.5114,0.0
-60.5014,0.0
-60.491400000000006,0.0
-60.4814,0.0
-60.471399999999996,0.0
-60.461400000000005,0.0
-60.4514,0.0
-60.441399999999994,0.0
-60.431400000000004,0.0
-60.4214,0.0
-60.41140000000001,0.0
-60.4014,0.0
-60.3914,0.0
-60.381400000000006,0.0
-60.3714,0.0
-60.361399999999996,0.0
-60.351400000000005,0.0
-60.3414,0.0
-60.331399999999995,0.0
-60.321400000000004,0.0
-60.3114,0.0
-60.301399999999994,0.0
-60.2914,0.0
-60.2814,0.0
-60.27140000000001,0.0
-60.2614,0.0
-60.2514,0.0
-60.241400000000006,0.0
-60.2314,0.0
-60.221399999999996,0.0
-60.211400000000005,0.0
-60.2014,0.0
-60.191399999999994,0.0
-60.181400000000004,0.0
-60.1714,0.0
-60.16140000000001,0.0
-60.1514,0.0
-60.1414,0.0
-60.131400000000006,0.0
-60.1214,0.0
-60.111399999999996,0.0
-60.101400000000005,0.0
-60.0914,0.0
-60.081399999999995,0.0
-60.071400000000004,0.0
-60.0614,0.0
-60.051399999999994,0.0
-60.0414,0.0
-60.0314,0.0
-60.02140000000001,0.0
-60.0114,0.0
-60.0014,0.0
-59.991400000000006,0.0
-59.9814,0.0
-59.971399999999996,0.0
-59.961400000000005,0.0
-59.9514,0.0
-59.941399999999994,0.0
-59.931400000000004,0.0
-59.9214,0.0
-59.91140000000001,0.0
-59.9014,0.0
-59.8914,0.0
-59.881400000000006,0.0
-59.8714,0.0
-59.861399999999996,0.0
-59.851400000000005,0.0
-59.8414,0.0
-59.831399999999995,0.0
-59.821400000000004,0.0
-59.8114,0.0
-59.801399999999994,0.0
-59.7914,0.0
-59.7814,0.0
-59.77140000000001,0.0
-59.7614,0.0
-59.7514,0.0
-59.741400000000006,0.0
-59.7314,0.0
-59.721399999999996,0.0
-59.711400000000005,0.0
-59.7014,0.0
-59.691399999999994,0.0
-59.681400000000004,0.0
-59.6714,0.0
-59.66140000000001,0.0
-59.6514,0.0
-59.6414,0.0
-59.631400000000006,0.0
-59.6214,0.0
-59.611399999999996,0.0
-59.601400000000005,0.0
-59.5914,0.0
-59.581399999999995,0.0
-59.571400000000004,0.0
-59.5614,0.0
-59.551399999999994,0.0
-59.5414,0.0
-59.5314,0.0
-59.52140000000001,0.0
-59.5114,0.0
