,Mo_4dz2
-62.8739,1.4342439999999997e-06
-62.863899999999994,2.261714e-06
-62.8539,3.5263099999999986e-06
-62.8439,5.451740000000003e-06
-62.83389999999999,8.33805e-06
-62.8239,1.2620729999999998e-05
-62.8139,1.893344000000001e-05
-62.803900000000006,2.8142900000000005e-05
-62.7939,4.140049999999999e-05
-62.783899999999996,6.0306899999999977e-05
-62.773900000000005,8.701139999999996e-05
-62.7639,0.00012413200000000002
-62.753899999999994,0.00017595899999999997
-62.743900000000004,0.0002467480000000001
-62.7339,0.00034245699999999995
-62.72389999999999,0.0004708329999999999
-62.7139,0.00064202
-62.7039,0.0008669899999999997
-62.69389999999999,0.0011599800000000003
-62.6839,0.00153812
-62.673899999999996,0.00201848
-62.663900000000005,0.00262647
-62.6539,0.0033902700000000017
-62.643899999999995,0.004333000000000001
-62.633900000000004,0.0054919
-62.6239,0.006898400000000002
-62.613899999999994,0.008579799999999999
-62.6039,0.010589900000000001
-62.5939,0.0129468
-62.58389999999999,0.015697099999999995
-62.5739,0.018862000000000004
-62.5639,0.022457000000000008
-62.553900000000006,0.026534999999999996
-62.5439,0.031059000000000003
-62.533899999999996,0.03605200000000001
-62.523900000000005,0.04146799999999999
-62.5139,0.047334
-62.503899999999994,0.053533999999999984
-62.493900000000004,0.06000699999999998
-62.4839,0.06670700000000002
-62.47389999999999,0.07348399999999998
-62.4639,0.08034000000000004
-62.4539,0.08686999999999999
-62.44389999999999,0.0934
-62.4339,0.09928999999999995
-62.423899999999996,0.10489999999999998
-62.413900000000005,0.10964000000000007
-62.4039,0.11362000000000001
-62.393899999999995,0.11678999999999992
-62.383900000000004,0.11889999999999996
-62.3739,0.12011999999999996
-62.363899999999994,0.12018999999999995
-62.3539,0.11905000000000009
-62.3439,0.11707999999999995
-62.33389999999999,0.11393999999999993
-62.3239,0.10991999999999996
-62.3139,0.1052
-62.303900000000006,0.09964999999999997
-62.2939,0.09352
-62.283899999999996,0.08697500000000001
-62.273900000000005,0.08024800000000001
-62.2639,0.07321000000000003
-62.253899999999994,0.06620200000000001
-62.243900000000004,0.059316
-62.2339,0.05272299999999999
-62.22389999999999,0.04635
-62.2139,0.04035299999999999
-62.2039,0.034813000000000004
-62.19389999999999,0.029770999999999995
-62.1839,0.02519699999999999
-62.173899999999996,0.021131000000000004
-62.163900000000005,0.017544499999999994
-62.1539,0.014432699999999994
-62.143899999999995,0.011756899999999999
-62.133900000000004,0.0094832
-62.1239,0.007574400000000001
-62.113899999999994,0.005990199999999999
-62.1039,0.004693599999999999
-62.0939,0.003638329999999999
-62.08389999999999,0.002796249999999999
-62.0739,0.0021263099999999997
-62.0639,0.0016008200000000002
-62.053900000000006,0.0011936900000000003
-62.0439,0.0008812100000000001
-62.033899999999996,0.00064417
-62.023900000000005,0.0004664040000000001
-62.0139,0.000333793
-62.003899999999994,0.00023671699999999995
-61.993900000000004,0.00016630699999999998
-61.9839,0.00011560700000000002
-61.97389999999999,7.956700000000002e-05
-61.9639,5.4199900000000016e-05
-61.9539,3.653420000000001e-05
-61.94389999999999,2.4410900000000004e-05
-61.9339,1.6127900000000002e-05
-61.923899999999996,1.0547999999999998e-05
-61.913900000000005,6.829710000000001e-06
-61.9039,4.374499999999999e-06
-61.893899999999995,2.7760099999999996e-06
-61.883900000000004,1.7432120000000004e-06
-61.8739,1.0834769999999997e-06
-61.863899999999994,6.665340000000001e-07
-61.8539,4.0555499999999995e-07
-61.8439,2.4461679999999996e-07
-61.83389999999999,1.458044e-07
-61.8239,8.606829999999999e-08
-61.8139,5.029570000000001e-08
-61.803900000000006,2.9094500000000003e-08
-61.7939,1.662923e-08
-61.783899999999996,9.419650000000002e-09
-61.773900000000005,5.277849999999998e-09
-61.7639,2.9288350000000013e-09
-61.753899999999994,1.606714e-09
-61.743900000000004,8.726819999999999e-10
-61.7339,4.687718000000001e-10
-61.72389999999999,2.494812e-10
-61.7139,1.313191e-10
-61.7039,6.836188999999999e-11
-61.69389999999999,3.523219e-11
-61.6839,1.7889219e-11
-61.673899999999996,8.997186269999998e-12
-61.663900000000005,4.485093329999999e-12
-61.6539,2.2028260299999994e-12
-61.643899999999995,9.8276469e-13
-61.633900000000004,4.479298219999999e-13
-61.6239,2.11413996e-13
-61.613899999999994,8.473379379999999e-14
-61.6039,9.790769615000001e-15
-61.5939,0.0
-61.58389999999999,0.0
-61.5739,0.0
-61.5639,0.0
