,H_1s
-62.053900000000006,2.96e-07
-62.0439,1.94e-07
-62.033899999999996,1.25e-07
-62.023900000000005,8.01e-08
-62.0139,5.07e-08
-62.003899999999994,3.18e-08
-61.993900000000004,1.98e-08
-61.9839,1.22e-08
-61.97389999999999,7.42e-09
-61.9639,4.48e-09
-61.9539,2.68e-09
-61.94389999999999,1.59e-09
-61.9339,9.3e-10
-61.923899999999996,5.4e-10
-61.913900000000005,3.11e-10
-61.9039,1.77e-10
-61.893899999999995,9.99e-11
-61.883900000000004,5.58e-11
-61.8739,3.09e-11
-61.863899999999994,1.7e-11
-61.8539,9.21e-12
-61.8439,4.95e-12
-61.83389999999999,2.64e-12
-61.8239,1.39e-12
-61.8139,7.29e-13
-61.803900000000006,3.77e-13
-61.7939,1.94e-13
-61.783899999999996,9.84e-14
-61.773900000000005,4.95e-14
-61.7639,2e-14
-61.753899999999994,1e-14
-61.743900000000004,4.96e-15
-61.7339,2.43e-15
-61.72389999999999,7.3e-16
-61.7139,3.57e-16
-61.7039,1.57e-16
-61.69389999999999,5.61e-17
-61.6839,1.05e-17
-61.673899999999996,2.21e-18
-61.663900000000005,1.09e-18
-61.6539,5.02e-19
-61.643899999999995,1.83e-19
-61.633900000000004,6.26e-20
-61.6239,2.6e-20
-61.613899999999994,1.21e-20
-61.6039,4.39e-21
-61.5939,0.0
-61.58389999999999,0.0
-61.5739,0.0
-61.5639,0.0
-61.553900000000006,0.0
-61.5439,0.0
-61.533899999999996,0.0
-61.523900000000005,0.0
-61.5139,0.0
-61.503899999999994,0.0
-61.493900000000004,0.0
-61.4839,0.0
-61.47389999999999,0.0
-61.4639,0.0
-61.4539,0.0
-61.44389999999999,0.0
-61.4339,0.0
-61.423899999999996,0.0
-61.413900000000005,0.0
-61.4039,0.0
-61.393899999999995,0.0
-61.383900000000004,0.0
-61.3739,0.0
-61.363899999999994,0.0
-61.3539,0.0
-61.3439,0.0
-61.33389999999999,0.0
-61.3239,0.0
-61.3139,0.0
-61.303900000000006,0.0
-61.2939,0.0
-61.283899999999996,0.0
-61.273900000000005,0.0
-61.2639,0.0
-61.253899999999994,0.0
