,Pd_4dz2
-73.3552,0.0
-73.3452,0.0
-73.3352,0.0
-73.3252,0.0
-73.3152,0.0
-73.3052,0.0
-73.2952,0.0
-73.2852,0.0
-73.2752,0.0
-73.26520000000001,0.0
-73.2552,0.0
-73.2452,0.0
-73.2352,0.0
-73.2252,0.0
-73.2152,0.0
-73.2052,0.0
-73.1952,0.0
-73.1852,0.0
-73.1752,0.0
-73.1652,0.0
-73.15520000000001,0.0
-73.1452,0.0
-73.1352,0.0
-73.1252,0.0
-73.1152,0.0
-73.1052,0.0
-73.0952,0.0
-73.0852,0.0
-73.0752,0.0
-73.0652,0.0
-73.0552,0.0
-73.0452,0.0
-73.0352,0.0
-73.0252,0.0
-73.01520000000001,0.0
-73.0052,0.0
-72.9952,0.0
-72.9852,0.0
-72.9752,0.0
-72.9652,0.0
-72.9552,0.0
-72.9452,0.0
-72.9352,0.0
-72.9252,0.0
-72.9152,0.0
-72.90520000000001,0.0
-72.8952,0.0
-72.8852,0.0
-72.8752,0.0
-72.8652,0.0
-72.8552,0.0
-72.8452,0.0
-72.8352,0.0
-72.8252,0.0
-72.8152,0.0
-72.8052,0.0
-72.7952,0.0
-72.7852,0.0
-72.7752,0.0
-72.76520000000001,0.0
-72.7552,0.0
-72.7452,0.0
-72.7352,0.0
-72.7252,0.0
-72.7152,0.0
-72.7052,0.0
-72.6952,0.0
-72.6852,0.0
-72.6752,0.0
-72.6652,0.0
-72.65520000000001,0.0
-72.6452,0.0
-72.6352,0.0
-72.6252,0.0
-72.6152,0.0
-72.6052,0.0
-72.5952,0.0
-72.5852,0.0
-72.5752,0.0
-72.5652,0.0
-72.5552,0.0
-72.5452,0.0
-72.5352,0.0
-72.5252,0.0
-72.51520000000001,0.0
-72.5052,0.0
-72.4952,0.0
-72.4852,0.0
-72.4752,0.0
-72.4652,0.0
-72.4552,0.0
-72.4452,0.0
-72.4352,0.0
-72.4252,0.0
-72.4152,0.0
-72.40520000000001,0.0
-72.3952,0.0
-72.3852,0.0
-72.3752,0.0
-72.3652,0.0
-72.3552,0.0
-72.3452,0.0
-72.3352,0.0
-72.3252,0.0
-72.3152,0.0
-72.3052,0.0
-72.2952,0.0
-72.2852,0.0
-72.2752,0.0
-72.26520000000001,0.0
-72.2552,0.0
-72.2452,0.0
-72.2352,0.0
-72.2252,0.0
-72.2152,0.0
-72.2052,0.0
-72.1952,0.0
-72.1852,0.0
-72.1752,0.0
-72.1652,0.0
-72.15520000000001,0.0
-72.1452,0.0
-72.1352,0.0
-72.1252,0.0
-72.1152,0.0
-72.1052,0.0
-72.0952,0.0
-72.0852,0.0
-72.0752,0.0
-72.0652,0.0
-72.0552,0.0
-72.0452,0.0
-72.0352,0.0
-72.0252,0.0
-72.01520000000001,0.0
-72.0052,0.0
-71.9952,0.0
-71.9852,0.0
-71.9752,0.0
-71.9652,0.0
-71.9552,0.0
-71.9452,0.0
-71.9352,0.0
-71.9252,0.0
-71.9152,0.0
-71.90520000000001,0.0
-71.8952,0.0
-71.8852,0.0
-71.8752,0.0
-71.8652,0.0
-71.8552,0.0
-71.8452,0.0
-71.8352,0.0
-71.8252,0.0
-71.8152,0.0
-71.8052,0.0
-71.7952,0.0
-71.7852,0.0
-71.7752,0.0
-71.76520000000001,0.0
-71.7552,0.0
-71.7452,0.0
-71.7352,0.0
-71.7252,0.0
-71.7152,0.0
-71.7052,0.0
-71.6952,0.0
-71.6852,0.0
-71.6752,0.0
-71.6652,0.0
-71.65520000000001,0.0
-71.6452,0.0
-71.6352,0.0
-71.6252,0.0
-71.6152,0.0
-71.6052,0.0
-71.5952,0.0
-71.5852,0.0
-71.5752,0.0
-71.5652,0.0
-71.5552,0.0
-71.5452,0.0
-71.5352,0.0
-71.5252,0.0
-71.51520000000001,0.0
-71.5052,0.0
-71.4952,0.0
-71.4852,0.0
-71.4752,0.0
-71.4652,0.0
-71.4552,0.0
-71.4452,0.0
-71.4352,0.0
-71.4252,0.0
-71.4152,0.0
-71.40520000000001,0.0
-71.3952,0.0
-71.3852,0.0
-71.3752,0.0
-71.3652,0.0
-71.3552,0.0
-71.3452,0.0
-71.3352,0.0
-71.3252,0.0
-71.3152,0.0
-71.3052,0.0
-71.2952,0.0
-71.2852,0.0
-71.2752,0.0
-71.26520000000001,0.0
-71.2552,0.0
-71.2452,0.0
-71.2352,0.0
-71.2252,0.0
-71.2152,0.0
-71.2052,0.0
-71.1952,0.0
-71.1852,0.0
-71.1752,0.0
