,Mo_1s
-84.4652,1.5949540615006999e-09
-84.4552,2.463101630849099e-09
-84.4452,3.768495869769901e-09
-84.4352,5.6982058374190025e-09
-84.4252,8.550964708950998e-09
-84.4152,1.2607426881464999e-08
-84.40520000000001,1.8519960761395e-08
-84.3952,2.6816936058361004e-08
-84.3852,3.8394330980653e-08
-84.3752,5.447262032383999e-08
-84.3652,7.652543425175e-08
-84.3552,1.0609473770381995e-07
-84.3452,1.4536709367171004e-07
-84.3352,1.9744498280064002e-07
-84.3252,2.6560004583018996e-07
-84.3152,3.5244520386527007e-07
-84.3052,4.6369138188160023e-07
-84.2952,6.026084798452999e-07
-84.2852,7.781474975728999e-07
-84.2752,9.840429627827e-07
-84.26520000000001,1.2413816731594e-06
-84.2552,1.549868880241001e-06
-84.2452,1.906005110515201e-06
-84.2352,2.3217185959655e-06
-84.2252,2.8038476461958997e-06
-84.2152,3.3443168526090997e-06
-84.2052,3.9424961146041e-06
-84.1952,4.604778030875e-06
-84.1852,5.318466058913999e-06
-84.1752,6.071228059918998e-06
-84.1652,6.879854690141999e-06
-84.15520000000001,7.653623474531e-06
-84.1452,8.490522348696e-06
-84.1352,9.264385220455998e-06
-84.1252,1.0033838742759005e-05
-84.1152,1.0741845911083e-05
-84.1052,1.1383010670022e-05
-84.0952,1.1958614808549002e-05
-84.0852,1.2349182319318003e-05
-84.0752,1.2672041197737997e-05
-84.0652,1.2861344343074e-05
-84.0552,1.2925956653028993e-05
-84.0452,1.2800222030807e-05
-84.0352,1.2603095771390999e-05
-84.0252,1.2220267580929e-05
-84.01520000000001,1.1769160861192998e-05
-84.0052,1.1189156213626003e-05
-83.9952,1.0484585346556e-05
-83.9852,9.775538912690002e-06
-83.9752,9.003047365074999e-06
-83.9652,8.169148591707e-06
-83.9552,7.394948707924997e-06
-83.9452,6.560685036558001e-06
-83.9352,5.7924893998449994e-06
-83.9252,5.0486274831599995e-06
-83.9152,4.354150568246702e-06
-83.90520000000001,3.717378967102601e-06
-83.8952,3.1384912309384996e-06
-83.8852,2.6177216704583994e-06
-83.8752,2.1670775554560006e-06
-83.8652,1.7686530959324997e-06
-83.8552,1.4278786004862e-06
-83.8452,1.1447442982383e-06
-83.8352,9.066493731237998e-07
-83.8252,7.073708054237001e-07
-83.8152,5.482481253231998e-07
-83.8052,4.1995375385411987e-07
-83.7952,3.1832442919976e-07
-83.7852,2.3861115714453e-07
-83.7752,1.7686230959325e-07
-83.76520000000001,1.2989300067522998e-07
-83.7552,9.392378973122e-08
-83.7452,6.754531163217e-08
-83.7352,4.797686397831e-08
-83.7252,3.3701410993484014e-08
-83.7152,2.3410787107913998e-08
-83.7052,1.608011056022901e-08
-83.6952,1.0935324060662002e-08
-83.6852,7.394844707220999e-09
-83.6752,4.90680271647e-09
-83.6652,3.2284578738598006e-09
-83.65520000000001,2.1029673801737e-09
-83.6452,1.3569395514589e-09
-83.6352,8.619890235988002e-10
-83.6252,5.447383032585e-10
-83.6152,3.3958941758805995e-10
-83.6052,2.0966028483658998e-10
-83.5952,1.2796998923388e-10
-83.5852,7.718103837909998e-11
-83.5752,4.617584612291999e-11
-83.5652,2.7269093081004993e-11
-83.5552,1.5950542821050994e-11
-83.5452,9.199914845281998e-12
-83.5352,5.280145850163e-12
-83.5252,2.9883120427394995e-12
-83.51520000000001,1.6720243315056998e-12
-83.5052,9.260346993313e-13
-83.4952,5.074352451296e-13
-83.4852,2.7526208437304996e-13
-83.4752,1.4730620618479002e-13
-83.4652,7.845990561017001e-14
-83.4552,4.1093608953191996e-14
-83.4452,2.1340905673115997e-14
-83.4352,1.0935294060560003e-14
-83.4252,5.563001032238998e-15
-83.4152,2.7974038946885997e-15
-83.40520000000001,1.3892269502434e-15
-83.3952,6.819077563920998e-16
-83.3852,3.325077937787301e-16
-83.3752,1.6014156034134003e-16
-83.3652,7.622178211060997e-17
-83.3552,0.0
-83.3452,0.0
-83.3352,0.0
-83.3252,0.0
-83.3152,0.0
-83.3052,0.0
-83.2952,0.0
-83.2852,0.0
-83.2752,0.0
-83.26520000000001,0.0
-83.2552,0.0
-83.2452,0.0
-83.2352,0.0
-83.2252,0.0
-83.2152,0.0
-83.2052,0.0
-83.1952,0.0
-83.1852,0.0
-83.1752,0.0
-83.1652,0.0
-83.15520000000001,0.0
-83.1452,0.0
-83.1352,0.0
-83.1252,0.0
-83.1152,0.0
-83.1052,0.0
-83.0952,0.0
-83.0852,0.0
-83.0752,0.0
-83.0652,0.0
-83.0552,0.0
-83.0452,0.0
-83.0352,0.0
-83.0252,0.0
-83.01520000000001,0.0
-83.0052,0.0
-82.9952,0.0
-82.9852,0.0
-82.9752,0.0
-82.9652,0.0
-82.9552,0.0
