slab,mol,nset,xtheta,ytheta,ztheta,0
slab3,molA,nset45,-37.0676486075034,19.571728839598677,-81.27341709458153,394900.731345158
slab3,molA,nset46,158.22789287402423,-47.736881137520214,-45.225515314302385,394901.043622587
slab3,molA,nset47,1.8320403204139666,-48.513220482820344,-46.2076805506814,394901.3613383
slab3,molA,nset48,-56.453755419801766,164.2485815354712,-111.28643083262133,394900.937514247
slab3,molA,nset49,-117.02575529365281,2.5306891651064802,-145.2468306289241,394900.601523887
slab3,molA,nset50,-106.8915298774272,73.86333050084852,151.02040520312175,394901.098151746
slab3,molA,nset51,-30.60625286401438,17.386077616641956,-132.30926037968433,394900.957762949
slab3,molA,nset52,2.8430951026197135,162.99352683365294,-86.3578392524214,394901.077624937
slab3,molA,nset53,-78.05643542962929,-118.26661846265617,3.3135889252010884,394901.099664013
slab3,molA,nset54,32.71891544202646,-102.71609302237134,-59.943399594170685,394901.137437721
slab3,molA,nset55,135.43814812451643,-134.28866167282854,29.353954552048606,394901.100136696
slab3,molA,nset56,-58.7238062481146,89.0416665101065,-71.90570327553833,394901.138215314
slab3,molA,nset57,-116.28021449001702,-82.02859252784629,62.6295570756005,394901.099474656
slab3,molA,nset58,46.26793930169296,-87.54356184934258,22.503524309677744,394901.149883282
slab3,molA,nset59,-174.55973345072397,74.1817784159993,145.0660422545289,394901.100056204
slab3,molA,nset60,-147.59270160232177,-80.91165726445503,-41.64738932369826,394901.040373224
slab3,molA,nset61,45.387451547403,-143.52405187288528,-131.77986162268394,394900.730813222
slab3,molA,nset62,116.5527340147309,-87.40238539706299,93.77805482390562,394901.143965586
slab3,molA,nset63,83.41612938086729,161.9899398919191,-72.04787110562964,394900.750856549
slab3,molA,nset64,36.671190882841614,-98.73341382408557,80.56143784051295,394901.170187273
slab3,molA,nset65,144.75889243575813,-48.2541504388746,107.9650066130813,394901.144568078
slab3,molA,nset66,7.154810447365094,-82.97573819847601,-34.88611833911065,394901.138467307
slab3,molA,nset67,-32.16372170695047,-124.76574079324224,-89.23480662376907,394901.142764782
slab3,molA,nset68,20.504327997897434,-35.00351809041163,79.5645020587508,394901.170155513
slab3,molA,nset69,-65.15659760220615,106.5040899962288,-57.76872268295324,394901.13758912
slab3,molA,nset70,39.195719246911324,15.296160312491082,-37.495315468688005,394900.936720341
slab3,molA,nset71,-80.56098527544705,-104.86519723899224,171.71730812024947,394901.169711656
slab3,molA,nset72,-24.83035638191913,107.41568384612617,-153.0158313889205,394901.038215266
slab3,molA,nset73,144.0979897447794,104.3517837690863,-5.568482014583395,394901.040116256
slab3,molA,nset74,-49.72660568984216,146.88041562620953,-67.96392867765637,394901.360914827
slab3,molA,nset75,-157.2466514167213,-81.67718747981102,-109.17695491158281,394901.170805122
slab3,molA,nset76,98.95898933506686,115.78739258770224,56.568914305650964,394900.730511451
slab3,molA,nset77,-36.20722442467664,20.89602230204369,-112.98253940444147,394900.729902878
slab3,molA,nset78,-105.09847194887917,2.9445494203955604,90.22689644363805,394900.752362471
slab3,molA,nset79,146.9941995633369,155.61490679281536,-44.3297253209343,394900.674327328
slab3,molA,nset80,-46.23684882673908,162.55320029789578,-94.52487682394312,394900.96148051
slab3,molA,nset81,-106.97195002686745,172.17372621859397,-47.409296900913205,394900.909020623
slab3,molA,nset82,-92.5565030000116,-132.78108414141855,149.93537173303002,394901.045341825
slab3,molA,nset83,-24.725894049254862,-68.68266847138959,-108.56956310028822,394901.101289534
slab3,molA,nset84,-1.3003295666999293,-126.29358600888685,79.29889764823304,394901.042124839
slab3,molA,nset85,-13.106784740330113,-173.8322359863182,-37.72726522356922,394900.936675844
slab3,molA,nset86,5.269204190158689,121.74558811656249,1.4796490170714947,394901.137647227
slab3,molA,nset87,-127.44943190311365,-162.48937454453898,-170.66624881376055,394901.044884209
slab3,molA,nset88,53.51548251600667,37.7050735613868,-92.79345458654244,394901.143859209
slab3,molA,nset89,-124.5196320771278,-95.51604132496837,-49.38157695893844,394901.037803485
slab3,molA,nset90,-68.96867197943996,-122.89634230834211,99.09051287425405,394900.938112018
slab3,molA,nset91,-123.13040221194277,-155.5904145111286,8.71580167306044,394900.871987127
slab3,molA,nset92,72.38605452025911,-56.96150563186548,-154.61267596400575,394901.100298507
slab3,molA,nset93,130.22613337361497,-116.69711277524794,-27.165043378001286,394901.171338809
slab3,molA,nset94,44.575385510890385,-131.32842470150644,-101.73961194911894,394901.100717516
slab3,molA,nset95,38.1002748573182,39.97212897256287,-120.96861448357926,394900.961826612
slab3,molA,nset96,12.582105672561795,147.5374356163171,17.83252452110014,394900.833883688
slab3,molA,nset97,-76.37370372727814,-15.070925518998678,56.75402274453188,394900.732037425
slab3,molA,nset98,112.20655063444599,-78.39071050421558,-28.740806474296733,394901.169648472
slab3,molA,nset99,150.38936372633856,-12.890197299202441,82.44874613620476,394900.961016877
slab3,molA,nset100,-174.24947977953983,-174.35231347675276,-81.0495048009396,394901.169811396
slab3,molB,nset1,140.85040803931014,-139.9455778430542,75.77552701849737,430633.656097523
slab3,molB,nset2,73.49679808096528,50.67889999603088,-42.59461670415021,430633.658699668
slab3,molB,nset3,167.78077107190995,0.19990369463997126,8.399934048502843,430633.597078703
slab3,molB,nset4,148.7712230726599,97.83608677073795,-6.1846841450423256,430633.739036293
slab3,molB,nset5,-148.27381267128166,-143.71049831432242,97.49434891184836,430633.40854886
slab3,molB,nset6,-70.03912467129058,-162.50310366066017,6.614186811599836,430633.481030864
slab3,molB,nset7,-133.41376488922822,54.01203382581886,67.0286004127401,430633.754833112
slab3,molB,nset8,-127.87264847027794,92.55580930081521,-172.8165760407015,430633.734687859
slab3,molB,nset9,-164.53397491443306,-27.43812676627914,72.96303207446124,430633.912647317
slab3,molB,nset10,-137.58180319326195,72.72169813081351,-30.789275992493486,430633.732756553
slab3,molB,nset11,-148.3757135857144,52.30954736815616,-176.63568545495306,430633.994177405
slab3,molB,nset12,70.43312155230012,-11.937385844647764,-65.93708549823093,430633.450559476
slab3,molB,nset13,68.85723345983143,6.29869416336561,-86.40654328081877,430633.851427289
slab3,molB,nset14,-166.85006902143616,-32.47199823214655,57.80585176738785,430634.016273311
slab3,molB,nset15,-179.2555181729074,160.32186262747013,-87.72817455854684,430634.136480905
slab3,molB,nset16,-3.8170982800205877,124.22032191868283,178.51353644222235,430633.916190138
