,Mo_4dx2-y2
-84.51979999999999,3.1699964266959995e-09
-84.5098,4.8946874981179985e-09
-84.4998,7.507214567099999e-09
-84.4898,1.1344101428999997e-08
-84.4798,1.6975750242109994e-08
-84.46979999999999,2.5109662401479998e-08
-84.4598,3.6828786710390006e-08
-84.4498,5.338529692856997e-08
-84.43979999999999,7.652991242180004e-08
-84.4298,1.0844379231510003e-07
-84.4198,1.5202992870899992e-07
-84.40979999999999,2.1082971033210007e-07
-84.3998,2.894592938312e-07
-84.3898,3.929109071814998e-07
-84.3798,5.274313731142002e-07
-84.3698,7.027434420740005e-07
-84.35979999999999,9.237823746250001e-07
-84.3498,1.199080362138e-06
-84.3398,1.5431681329089999e-06
-84.32979999999999,1.964549278369001e-06
-84.3198,2.4733313298259996e-06
-84.3098,3.0802152305779998e-06
-84.29979999999999,3.791453143204e-06
-84.2898,4.619304118603999e-06
-84.2798,5.578400071410998e-06
-84.26979999999999,6.652490437968001e-06
-84.2598,7.841656999189996e-06
-84.2498,9.155236424209999e-06
-84.2398,1.0573469022799999e-05
-84.2298,1.209469229439e-05
-84.21979999999999,1.3639114908370002e-05
-84.2098,1.526637819348e-05
-84.1998,1.6871936588810002e-05
-84.18979999999999,1.8456251533689996e-05
-84.1798,1.997793824551e-05
-84.1698,2.139710996397999e-05
-84.15979999999999,2.26676607073e-05
-84.1498,2.3732695314460003e-05
-84.1398,2.462809816432e-05
-84.1298,2.525397653521001e-05
-84.1198,2.558882023822e-05
-84.10979999999999,2.5693032061040007e-05
-84.0998,2.5485509213989992e-05
-84.0898,2.5046551479349993e-05
-84.07979999999999,2.4316063184629995e-05
-84.0698,2.337794841185e-05
-84.0598,2.2211009462159993e-05
-84.04979999999999,2.089564839689001e-05
-84.0398,1.943676893685e-05
-84.0298,1.7892770723710002e-05
-84.01979999999999,1.62882255489e-05
-84.0098,1.4680748623480003e-05
-83.9998,1.3075814258269998e-05
-83.9898,1.1531625385129997e-05
-83.9798,1.0051125384760005e-05
-83.96979999999999,8.6748369372e-06
-83.9598,7.402901643640003e-06
-83.9498,6.2358006341310005e-06
-83.93979999999999,5.205655408812001e-06
-83.9298,4.306404977659002e-06
-83.9198,3.5161191457820003e-06
