,Pd_2s
-84.51979999999999,1.94e-07
-84.5098,3e-07
-84.4998,4.58e-07
-84.4898,6.93e-07
-84.4798,1.04e-06
-84.46979999999999,1.54e-06
-84.4598,2.25e-06
-84.4498,3.26e-06
-84.43979999999999,4.67e-06
-84.4298,6.63e-06
-84.4198,9.29e-06
-84.40979999999999,1.29e-05
-84.3998,1.77e-05
-84.3898,2.4e-05
-84.3798,3.23e-05
-84.3698,4.29e-05
-84.35979999999999,5.64e-05
-84.3498,7.33e-05
-84.3398,9.44e-05
-84.32979999999999,0.00012
-84.3198,0.000151
-84.3098,0.000188
-84.29979999999999,0.000232
-84.2898,0.000283
-84.2798,0.000341
-84.26979999999999,0.000407
-84.2598,0.00048
-84.2498,0.00056
-84.2398,0.000647
-84.2298,0.000739
-84.21979999999999,0.000835
-84.2098,0.000933
-84.1998,0.00103
-84.18979999999999,0.00113
-84.1798,0.00122
-84.1698,0.00131
-84.15979999999999,0.00139
-84.1498,0.00145
-84.1398,0.00151
-84.1298,0.00154
-84.1198,0.00157
-84.10979999999999,0.00157
-84.0998,0.00156
-84.0898,0.00153
-84.07979999999999,0.00149
-84.0698,0.00143
-84.0598,0.00136
-84.04979999999999,0.00128
-84.0398,0.00119
-84.0298,0.00109
-84.01979999999999,0.000996
-84.0098,0.000897
-83.9998,0.0008
-83.9898,0.000705
-83.9798,0.000614
-83.96979999999999,0.00053
-83.9598,0.000452
-83.9498,0.000382
-83.93979999999999,0.000319
-83.9298,0.000263
-83.9198,0.000215
-83.90979999999999,0.000174
-83.8998,0.000139
-83.8898,0.00011
-83.8798,8.62e-05
-83.8698,6.67e-05
-83.85979999999999,5.11e-05
-83.8498,3.87e-05
-83.8398,2.9e-05
-83.82979999999999,2.15e-05
-83.8198,1.58e-05
-83.8098,1.15e-05
-83.79979999999999,8.22e-06
-83.7898,5.84e-06
-83.7798,4.1e-06
-83.76979999999999,2.85e-06
-83.7598,1.96e-06
-83.7498,1.33e-06
-83.7398,8.97e-07
-83.7298,5.97e-07
-83.71979999999999,3.93e-07
-83.7098,2.56e-07
-83.6998,1.65e-07
-83.68979999999999,1.05e-07
-83.6798,6.63e-08
-83.6698,4.13e-08
-83.65979999999999,2.55e-08
-83.6498,1.56e-08
-83.6398,9.4e-09
-83.6298,5.62e-09
-83.6198,3.32e-09
-83.60979999999999,1.94e-09
-83.5998,1.12e-09
-83.5898,6.42e-10
-83.57979999999999,3.64e-10
