,S_2pz
-83.3039,5.039272905262296e-06
-83.2939,7.790720120490616e-06
-83.28389999999999,1.189281940487071e-05
-83.2739,1.8040435842864203e-05
-83.26389999999999,2.701032450675867e-05
-83.25389999999999,3.991121677273123e-05
-83.2439,5.8555780047482314e-05
-83.23389999999999,8.476216984474616e-05
-83.2239,0.000121946054331111
-83.2139,0.0001723423013465296
-83.20389999999999,0.00024188252446322116
-83.1939,0.0003356118223751714
-83.1839,0.0004605853243209529
-83.17389999999999,0.0006248685296539906
-83.1639,0.0008395581398151702
-83.1539,0.0011187029235603003
-83.14389999999999,0.0014714160219889806
-83.1339,0.001904852781030785
-83.12389999999999,0.0024491199835591955
-83.11389999999999,0.0031243132606668463
-83.1039,0.00393062762603278
-83.09389999999999,0.0048981433045528445
-83.0839,0.006037010563107686
-83.0739,0.007357290628330051
-83.06389999999999,0.008869063105893533
-83.0539,0.01058240955346901
-83.0439,0.012497128969560452
-83.03389999999999,0.014613522468725814
-83.0239,0.01683107504963175
-83.01389999999999,0.019249775631695255
-83.00389999999999,0.021669227574865516
-82.9939,0.024289100219678613
-82.98389999999999,0.02680907588886082
-82.9739,0.029328729165652875
-82.9639,0.031747542182247256
-82.95389999999999,0.0340652147226537
-82.9439,0.03608085119101806
-82.9339,0.03779416892312795
-82.92389999999999,0.03910496359128995
-82.9139,0.040112631274180154
-82.9039,0.04071706946378004
-82.89389999999999,0.040818179780366795
-82.8839,0.04051585911476216
-82.87389999999999,0.03981010745738338
-82.86389999999999,0.038701233156804585
-82.8539,0.03718963037730683
-82.84389999999999,0.03537530318379136
-82.8339,0.033258859164952546
-82.8239,0.0309408157007728
-82.81389999999999,0.028421687826035057
-82.8039,0.025901822201553033
-82.7939,0.023381846032680828
-82.78389999999999,0.020761976720927732
-82.7739,0.018342848725410192
-82.76389999999999,0.016024558643598245
-82.75389999999999,0.01380732705296477
-82.7439,0.011791560381269084
-82.73389999999999,0.009927365728112363
-82.7239,0.008294544104506647
-82.7139,0.0068533460529880815
-82.70389999999999,0.005593610700362149
-82.6939,0.004525237906099416
-82.6839,0.0036181861630315815
-82.67389999999999,0.002862294659080303
-82.6639,0.0022374492369622054
-82.6539,0.001733516795033918
-82.64389999999999,0.0013303434758718743
-82.6339,0.0010068315015203779
-82.62389999999999,0.0007548783438451036
-82.61389999999999,0.0005593590600338947
-82.6039,0.000410197934908179
-82.59389999999999,0.0002983198612140291
-82.5839,0.0002136660655338776
-82.5739,0.0001521825325653706
-82.56389999999999,0.00010683145731708933
-82.5539,7.407734340398658e-05
-82.5439,5.0996967861141687e-05
-82.53389999999999,3.467005721077595e-05
-82.5239,2.3281635699867708e-05
-82.51389999999999,1.55208868270845e-05
-82.50389999999999,1.0179475077325348e-05
-82.4939,6.651832822783978e-06
-82.48389999999999,4.283401507714216e-06
-82.4739,2.7312858158807333e-06
-82.4639,1.7234230255782978e-06
-82.45389999999999,1.07838714895498e-06
-82.4439,6.631671316644864e-07
-82.4339,4.051555573227897e-07
-82.42389999999999,2.449056519667654e-07
-82.4139,1.4613833386667207e-07
-82.4039,8.637367316347111e-08
-82.39389999999999,5.04932363643062e-08
-82.3839,2.9227366187532875e-08
-82.37389999999999,1.6730127134865544e-08
-82.36389999999999,9.453783226451502e-09
-82.3539,5.291230166321366e-09
-82.34389999999999,2.932831447519948e-09
-82.3339,1.602518240138208e-09
-82.3239,8.707802322403907e-10
-82.31389999999999,4.66636766657396e-10
-82.3039,2.479288249275412e-10
-82.2939,1.3001221660172727e-10
-82.28389999999999,6.74255884043963e-11
-82.2739,3.466985509076594e-11
-82.26389999999999,1.7637168373021744e-11
-82.25389999999999,8.848751911535304e-12
-82.2439,4.394269170414983e-12
-82.23389999999999,2.166849323713104e-12
-82.2239,1.0481985981223446e-12
-82.2139,5.06944443854549e-13
-82.20389999999999,2.4087841564979853e-13
-82.1939,0.0
-82.1839,0.0
-82.17389999999999,0.0
-82.1639,0.0
-82.1539,0.0
-82.14389999999999,0.0
-82.1339,0.0
-82.12389999999999,0.0
-82.11389999999999,0.0
-82.1039,0.0
-82.09389999999999,0.0
-82.0839,0.0
-82.0739,0.0
-82.06389999999999,0.0
-82.0539,0.0
-82.0439,0.0
-82.03389999999999,0.0
-82.0239,0.0
-82.01389999999999,0.0
-82.00389999999999,0.0
-81.9939,0.0
-81.98389999999999,0.0
-81.9739,0.0
-81.9639,0.0
-81.95389999999999,0.0
-81.9439,0.0
-81.9339,0.0
-81.92389999999999,0.0
-81.9139,0.0
-81.9039,0.0
-81.89389999999999,0.0
-81.8839,0.0
