,Mo_4dx2-y2
-62.280899999999995,2.1370271e-06
-62.270900000000005,3.4418989999999994e-06
-62.2609,5.4798099999999995e-06
-62.250899999999994,8.627422e-06
-62.2409,1.3448565e-05
-62.2309,2.072094e-05
-62.22090000000001,3.166717999999999e-05
-62.2109,4.7807910000000014e-05
-62.2009,7.145881e-05
-62.190900000000006,0.0001056799
-62.1809,0.0001547266
-62.170899999999996,0.0002243502
-62.160900000000005,0.00032108789999999994
-62.1509,0.0004561486999999998
-62.140899999999995,0.0006409160000000001
-62.130900000000004,0.0008908690000000001
-62.1209,0.0012262319999999998
-62.11090000000001,0.0016704369999999997
-62.1009,0.002247913
-62.0909,0.0030062500000000015
-62.08090000000001,0.0039713299999999995
-62.0709,0.00520228
-62.0609,0.00673896
-62.050900000000006,0.00864352
-62.0409,0.010979860000000001
-62.030899999999995,0.013810600000000001
-62.020900000000005,0.017202000000000002
-62.0109,0.021251899999999994
-62.000899999999994,0.025949000000000007
-61.9909,0.03144340000000001
-61.9809,0.0376584
-61.97090000000001,0.04469680000000001
-61.9609,0.05255499999999999
-61.9509,0.061364999999999996
-61.940900000000006,0.07093900000000002
-61.9309,0.08114000000000003
-61.920899999999996,0.09212000000000001
-61.910900000000005,0.10370300000000005
-61.9009,0.11567500000000004
-61.890899999999995,0.127922
-61.880900000000004,0.14023999999999998
-61.8709,0.152466
-61.86090000000001,0.16442999999999997
-61.8509,0.17593
-61.8409,0.18663000000000002
-61.83090000000001,0.19648999999999991
-61.8209,0.20511999999999994
-61.8109,0.2124799999999999
-61.800900000000006,0.21833999999999992
-61.7909,0.22279000000000002
-61.780899999999995,0.2254999999999999
-61.770900000000005,0.22658999999999999
-61.7609,0.22580000000000008
-61.750899999999994,0.22347
-61.7409,0.21922999999999984
-61.7309,0.21369
-61.72090000000001,0.20661000000000002
-61.7109,0.19818000000000008
-61.7009,0.18868
-61.690900000000006,0.17830000000000001
-61.6809,0.16715000000000005
-61.670899999999996,0.1554
-61.660900000000005,0.14335
-61.6509,0.13121699999999994
-61.640899999999995,0.11910199999999997
-61.630900000000004,0.10716799999999997
-61.6209,0.09570200000000001
-61.61090000000001,0.08480200000000003
-61.6009,0.074419
-61.5909,0.064722
-61.58090000000001,0.055841000000000016
-61.5709,0.04774400000000001
-61.5609,0.040466999999999996
-61.550900000000006,0.0339785
-61.5409,0.028303199999999997
-61.530899999999995,0.023349
-61.520900000000005,0.0190871
