,Mo_3px
-62.280899999999995,5.507244000000001e-09
-62.270900000000005,8.665669e-09
-62.2609,1.3494655000000002e-08
-62.250899999999994,2.0744049999999996e-08
-62.2409,3.1742930000000006e-08
-62.2309,4.7866380000000015e-08
-62.22090000000001,7.144599999999999e-08
-62.2109,1.0565059999999995e-07
-62.2009,1.5457919999999998e-07
-62.190900000000006,2.2327659999999984e-07
-62.1809,3.205039999999999e-07
-62.170899999999996,4.549765e-07
-62.160900000000005,6.392579999999998e-07
-62.1509,8.883939999999999e-07
-62.140899999999995,1.2220729999999998e-06
-62.130900000000004,1.6648799999999992e-06
-62.1209,2.251166e-06
-62.11090000000001,2.9969700000000003e-06
-62.1009,3.96079e-06
-62.0909,5.1814999999999994e-06
-62.08090000000001,6.715459999999999e-06
-62.0709,8.61726e-06
-62.0609,1.0958280000000005e-05
-62.050900000000006,1.37855e-05
-62.0409,1.7184e-05
-62.030899999999995,2.1276599999999992e-05
-62.020900000000005,2.59789e-05
-62.0109,3.14914e-05
-62.000899999999994,3.7711100000000006e-05
-61.9909,4.4850399999999987e-05
-61.9809,5.2805999999999996e-05
-61.97090000000001,6.165700000000002e-05
-61.9609,7.1434e-05
-61.9509,8.186200000000001e-05
-61.940900000000006,9.3145e-05
-61.9309,0.00010502700000000005
-61.920899999999996,0.00011731499999999996
-61.910900000000005,0.000130003
-61.9009,0.0001428680000000001
-61.890899999999995,0.00015570100000000003
-61.880900000000004,0.00016820999999999996
-61.8709,0.00018033000000000006
-61.86090000000001,0.00019175000000000003
-61.8509,0.0002024000000000001
-61.8409,0.00021182999999999998
-61.83090000000001,0.00022014000000000002
-61.8209,0.00022692000000000008
-61.8109,0.00023204000000000003
-61.800900000000006,0.00023563
-61.7909,0.00023736999999999982
-61.780899999999995,0.0002374999999999998
-61.770900000000005,0.00023568
-61.7609,0.00023217999999999996
-61.750899999999994,0.00022702000000000014
-61.7409,0.00022038999999999997
-61.7309,0.00021213999999999988
-61.72090000000001,0.00020290999999999994
-61.7109,0.00019242999999999994
-61.7009,0.00018113000000000005
-61.690900000000006,0.00016920000000000007
-61.6809,0.00015682999999999995
-61.670899999999996,0.00014427999999999994
-61.660900000000005,0.00013161400000000003
-61.6509,0.00011908900000000002
-61.640899999999995,0.00010690199999999997
-61.630900000000004,9.517200000000002e-05
-61.6209,8.4034e-05
-61.61090000000001,7.361399999999999e-05
-61.6009,6.389900000000002e-05
-61.5909,5.5044000000000024e-05
-61.58090000000001,4.6927999999999975e-05
-61.5709,3.97038e-05
-61.5609,3.33191e-05
-61.550900000000006,2.7656899999999993e-05
-61.5409,2.2793299999999997e-05
-61.530899999999995,1.8614199999999995e-05
-61.520900000000005,1.5063999999999993e-05
-61.5109,1.2063799999999998e-05
-61.500899999999994,9.581599999999998e-06
-61.4909,7.537179999999998e-06
-61.4809,5.875989999999999e-06
-61.47090000000001,4.535139999999999e-06
-61.4609,3.4689999999999997e-06
-61.4509,2.6263600000000014e-06
-61.440900000000006,1.971405e-06
-61.4309,1.465203e-06
-61.420899999999996,1.0775409999999997e-06
-61.410900000000005,7.851250000000002e-07
-61.4009,5.66658e-07
-61.390899999999995,4.0490950000000003e-07
-61.380900000000004,2.865123e-07
-61.3709,2.005594999999999e-07
-61.36090000000001,1.3925790000000002e-07
-61.3509,9.55875e-08
-61.3409,6.500861e-08
-61.33090000000001,4.375128e-08
-61.3209,2.9175029999999998e-08
-61.3109,1.9225569999999995e-08
-61.300900000000006,1.2565850999999999e-08
-61.2909,8.117422000000001e-09
-61.280899999999995,5.195620000000002e-09
-61.270900000000005,3.2920229999999993e-09
-61.2609,2.0636398000000005e-09
-61.250899999999994,1.2811862000000002e-09
-61.2409,7.870354000000003e-10
-61.2309,4.783305e-10
-61.22090000000001,2.8781674000000005e-10
-61.2109,1.7141852999999995e-10
-61.2009,1.0108538e-10
-61.190900000000006,5.898744099999998e-11
-61.1809,3.405977999999999e-11
-61.170899999999996,1.9472748e-11
-61.160900000000005,1.1003541999999999e-11
-61.1509,6.163748700000001e-12
-61.140899999999995,3.4169097000000005e-12
-61.130900000000004,1.8722051799999996e-12
-61.1209,1.01516757e-12
-61.11090000000001,5.450889300000001e-13
-61.1009,2.8958509900000006e-13
-61.0909,1.5208977800000004e-13
-61.08090000000001,7.917924200000002e-14
-61.0709,4.0708690199999994e-14
-61.0609,2.0703221446200005e-14
-61.050900000000006,1.0440500727799998e-14
-61.0409,5.121190354499999e-15
-61.030899999999995,2.50078617166e-15
-61.020900000000005,1.18887308039e-15
-61.0109,5.2633603465e-16
-61.000899999999994,2.32772914964e-16
-60.9909,8.419902539999999e-17
-60.9809,0.0
-60.97090000000001,0.0
-60.9609,0.0
-60.9509,0.0
-60.940900000000006,0.0
-60.9309,0.0
-60.920899999999996,0.0
-60.910900000000005,0.0
-60.9009,0.0
-60.890899999999995,0.0
-60.880900000000004,0.0
-60.8709,0.0
-60.86090000000001,0.0
-60.8509,0.0
-60.8409,0.0
-60.83090000000001,0.0
-60.8209,0.0
-60.8109,0.0
-60.800900000000006,0.0
-60.7909,0.0
-60.780899999999995,0.0
-60.770900000000005,0.0
-60.7609,0.0
-60.750899999999994,0.0
-60.7409,0.0
-60.7309,0.0
-60.72090000000001,0.0
-60.7109,0.0
-60.7009,0.0
-60.690900000000006,0.0
-60.6809,0.0
-60.670899999999996,0.0
-60.660900000000005,0.0
-60.6509,0.0
-60.640899999999995,0.0
-60.630900000000004,0.0
-60.6209,0.0
-60.61090000000001,0.0
-60.6009,0.0
-60.5909,0.0
-60.58090000000001,0.0
-60.5709,0.0
-60.5609,0.0
-60.550900000000006,0.0
-60.5409,0.0
-60.530899999999995,0.0
-60.520900000000005,0.0
-60.5109,0.0
-60.500899999999994,0.0
-60.4909,0.0
-60.4809,0.0
-60.47090000000001,0.0
-60.4609,0.0
-60.4509,0.0
-60.440900000000006,0.0
-60.4309,0.0
-60.420899999999996,0.0
-60.410900000000005,0.0
-60.4009,0.0
-60.390899999999995,0.0
-60.380900000000004,0.0
-60.3709,0.0
-60.36090000000001,0.0
-60.3509,0.0
-60.3409,0.0
-60.33090000000001,0.0
-60.3209,0.0
-60.3109,0.0
-60.300900000000006,0.0
-60.2909,0.0
-60.280899999999995,0.0
-60.270900000000005,0.0
-60.2609,0.0
-60.250899999999994,0.0
-60.2409,0.0
-60.2309,0.0
-60.22090000000001,0.0
-60.2109,0.0
-60.2009,0.0
-60.190900000000006,0.0
-60.1809,0.0
-60.170899999999996,0.0
-60.160900000000005,0.0
-60.1509,0.0
-60.140899999999995,0.0
-60.130900000000004,0.0
-60.1209,0.0
-60.11090000000001,0.0
-60.1009,0.0
-60.0909,0.0
-60.08090000000001,0.0
-60.0709,0.0
-60.0609,0.0
-60.050900000000006,0.0
-60.0409,0.0
-60.030899999999995,0.0
-60.020900000000005,0.0
-60.0109,0.0
-60.000899999999994,0.0
-59.9909,0.0
-59.9809,0.0
-59.97090000000001,0.0
-59.9609,0.0
-59.9509,0.0
-59.940900000000006,0.0
-59.9309,0.0
-59.920899999999996,0.0
-59.910900000000005,0.0
-59.9009,0.0
-59.890899999999995,0.0
-59.880900000000004,0.0
-59.8709,0.0
-59.86090000000001,0.0
-59.8509,0.0
-59.8409,0.0
-59.83090000000001,0.0
-59.8209,0.0
-59.8109,0.0
-59.800900000000006,0.0
-59.7909,0.0
-59.780899999999995,0.0
-59.770900000000005,0.0
-59.7609,0.0
-59.750899999999994,0.0
-59.7409,0.0
-59.7309,0.0
-59.72090000000001,0.0
-59.7109,0.0
-59.7009,0.0
-59.690900000000006,0.0
-59.6809,0.0
-59.670899999999996,0.0
-59.660900000000005,0.0
-59.6509,0.0
-59.640899999999995,0.0
-59.630900000000004,0.0
-59.6209,0.0
-59.61090000000001,0.0
-59.6009,0.0
-59.5909,0.0
-59.58090000000001,0.0
-59.5709,0.0
-59.5609,0.0
-59.550900000000006,0.0
-59.5409,0.0
-59.530899999999995,0.0
-59.520900000000005,0.0
-59.5109,0.0
-59.500899999999994,0.0
-59.4909,0.0
-59.4809,0.0
-59.47090000000001,0.0
-59.4609,0.0
-59.4509,0.0
-59.440900000000006,0.0
-59.4309,0.0
-59.420899999999996,0.0
-59.410900000000005,0.0
-59.4009,0.0
-59.390899999999995,0.0
-59.380900000000004,0.0
-59.3709,0.0
-59.36090000000001,0.0
-59.3509,0.0
-59.3409,0.0
-59.33090000000001,0.0
-59.3209,0.0
-59.3109,0.0
-59.300900000000006,0.0
-59.2909,0.0
-59.280899999999995,0.0
