,S_2pz
-61.420899999999996,0.011797749999999997
-61.410900000000005,0.008576710000000003
-61.4009,0.006177057
-61.390899999999995,0.0044025869999999995
-61.380900000000004,0.003108681999999998
-61.3709,0.002171699
-61.36090000000001,0.0015024859999999997
-61.3509,0.0010294484000000002
-61.3409,0.0006980799999999996
-61.33090000000001,0.00046885780000000015
-61.3209,0.0003115793
-61.3109,0.00020502017000000012
-61.300900000000006,0.00013355672000000006
-61.2909,8.610498000000002e-05
-61.280899999999995,5.496729999999999e-05
-61.270900000000005,3.4701410999999996e-05
-61.2609,2.1724636000000004e-05
-61.250899999999994,1.3439915000000008e-05
-61.2409,8.2375002e-06
-61.2309,4.9931723e-06
-61.22090000000001,2.9967701e-06
-61.2109,1.7809822999999997e-06
-61.2009,1.04726923e-06
-61.190900000000006,6.096576300000002e-07
-61.1809,3.508867999999999e-07
-61.170899999999996,2.0014314100000003e-07
-61.160900000000005,1.1283640199999998e-07
-61.1509,6.3027394e-08
-61.140899999999995,3.4806864300000003e-08
-61.130900000000004,1.9041098745330002e-08
-61.1209,1.029901396278e-08
-61.11090000000001,5.519421346040002e-09
-61.1009,2.922471512679999e-09
-61.0909,1.532345711493e-09
-61.08090000000001,7.946304242549999e-10
-61.0709,4.0746730338729996e-10
-61.0609,2.0697633663940247e-10
-61.050900000000006,1.0394236941937289e-10
-61.0409,5.10522695988308e-11
-61.030899999999995,2.480709649575935e-11
-61.020900000000005,1.1601990842831079e-11
-61.0109,4.892546449817093e-12
-61.000899999999994,2.1258621097273592e-12
-60.9909,7.357347763328841e-13
-60.9809,0.0
-60.97090000000001,0.0
-60.9609,0.0
-60.9509,0.0
-60.940900000000006,0.0
-60.9309,0.0
-60.920899999999996,0.0
-60.910900000000005,0.0
-60.9009,0.0
-60.890899999999995,0.0
-60.880900000000004,0.0
-60.8709,0.0
-60.86090000000001,0.0
-60.8509,0.0
-60.8409,0.0
-60.83090000000001,0.0
-60.8209,0.0
-60.8109,0.0
-60.800900000000006,0.0
